Varve range,Bottom varve,Bottom year,Actinocyclus curvatulus,Alvelus marinus,Azpeitia africana,A. nodulifer,A. tabularis,Coscinodiscus radiatus,Cyclotella spp.,Delphineis spp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Neodenticula seminae,Nitzschia interruptestriata,N. sp. cf. N. sicula,Pseudonitzschia australis,Pseudonitzschia multiseries,Rhizosolenia spp.,Roperia tesselata,Stephanopyxis spp.,Thalassionema nitzschioides,Thalassiosira eccentrica,T. lineata,T. oestrupii,T. pacifica,T. spp.,Thalassiothrix longissima,Other planktic,Actinoptychus spp.,Paralia sulcata,Benthic,Freshwater planktic,Reworked,Total counted
182-184,184,1818,1,1,0,0,1,9,3,0,6,0,0,3,0,0,0,1,2,0,37,3,0,0,0,2,2,2,1,0,22,0,2,323
184-186,186,1816,0,0,0,0,5,7,5,0,7,0,0,2,0,0,0,2,2,0,31,5,0,1,0,2,4,3,2,1,19,0,1,312
186-188,188,1814,1,0,1,0,3,8,6,0,3,0,0,3,0,0,0,2,1,0,32,2,0,1,0,2,6,2,2,0,26,0,0,312
188-190,190,1812,1,0,0,0,2,6,5,0,3,0,0,4,0,0,0,11,0,0,28,3,0,1,0,2,3,4,2,0,23,0,1,305
190-192,192,1810,0,0,1,0,6,5,2,0,3,0,0,7,1,0,0,6,1,0,38,2,0,1,0,2,3,2,1,0,19,0,0,304
192-194,194,1808,4,0,0,0,6,5,1,0,5,0,0,4,0,0,0,4,0,0,35,2,0,0,0,2,1,3,3,0,22,0,2,312
194-196,196,1806,2,0,0,0,1,6,6,0,6,0,0,4,0,0,0,2,0,0,33,3,0,1,0,3,3,2,3,0,24,0,1,305
196-198,198,1804,1,0,0,0,1,3,7,0,5,0,0,11,0,0,0,6,0,0,27,3,0,1,0,4,4,4,4,0,19,0,1,306
198-200,200,1802,1,0,1,0,6,6,3,0,6,0,0,5,0,0,0,4,1,0,23,5,1,2,0,4,2,5,2,1,23,0,1,598
200-202,202,1800,2,0,0,0,4,10,3,0,2,0,0,4,0,0,0,3,0,0,34,3,0,1,0,1,3,2,1,0,26,0,0,302
202-204,204,1798,1,0,0,1,2,12,7,0,2,0,0,5,0,0,0,2,0,0,25,4,0,1,0,2,8,1,2,0,24,0,0,301
204-206,206,1796,1,0,0,0,3,6,10,0,4,0,0,6,0,0,0,5,1,1,22,6,1,1,0,3,3,3,4,0,17,0,0,312
206-208,208,1794,1,0,0,0,4,7,9,0,5,0,0,5,0,0,0,10,1,0,24,5,1,1,0,3,2,2,5,0,13,0,1,309
208-210,210,1792,1,0,0,0,3,3,4,0,4,1,0,6,1,0,0,7,1,0,29,4,0,1,0,5,2,4,2,0,21,1,1,310
210-212,212,1790,2,0,0,0,1,1,6,0,2,0,0,9,0,0,0,2,0,0,29,5,0,1,0,3,5,2,2,1,26,0,1,303
212-214,214,1788,1,0,0,0,3,3,3,0,2,0,0,5,0,0,0,3,0,0,26,5,0,1,0,2,11,2,2,0,28,0,2,305
214-216,216,1786,1,0,1,0,2,2,2,0,5,0,0,5,1,0,0,11,0,0,30,3,0,1,0,2,7,2,2,0,22,0,0,309
216-218,218,1784,0,0,1,0,2,2,0,0,18,0,0,5,0,0,0,2,0,1,33,2,1,0,0,1,7,2,3,0,18,0,0,302
218-220,220,1782,2,0,1,0,1,3,1,0,6,0,0,7,0,0,0,3,1,0,27,1,0,1,0,1,8,2,1,0,32,0,2,304
220-222,222,1780,2,0,1,0,2,2,1,0,3,0,0,6,0,0,0,3,0,0,22,2,0,0,0,4,15,3,1,0,31,0,2,308
222-224,224,1778,2,0,0,0,2,5,4,0,2,0,0,4,0,0,0,5,0,1,28,3,0,0,0,2,14,3,3,0,23,0,1,332
224-226,226,1776,1,0,1,0,1,4,3,0,2,0,0,7,2,0,0,5,1,0,28,7,0,1,0,3,15,3,5,0,10,0,0,325
226-228,228,1774,2,0,1,0,4,1,2,0,1,0,0,4,0,0,0,38,0,0,22,5,0,0,0,2,2,1,3,0,10,0,1,305
228-230,230,1772,1,0,0,0,2,3,5,0,4,0,0,12,0,0,0,10,1,0,27,6,0,1,0,2,5,3,4,0,13,0,2,308
230-232,232,1770,2,0,0,0,0,5,5,0,8,0,0,14,0,0,0,4,1,0,25,4,1,0,0,4,4,3,2,1,15,0,1,307
232-234,234,1768,2,0,0,0,1,7,7,0,7,0,0,9,0,0,0,5,1,0,29,4,0,1,0,5,4,2,1,0,13,0,1,321
234-236,236,1766,3,0,0,0,1,5,8,0,8,0,0,5,0,0,0,2,0,0,33,6,1,2,0,2,4,2,4,0,14,0,2,311
236-238,238,1764,1,0,0,0,2,4,6,0,12,0,0,8,0,0,0,2,0,0,29,7,0,0,0,4,6,2,2,0,15,0,1,303
238-240,240,1762,2,0,1,0,2,3,8,0,8,0,0,6,0,0,0,4,0,0,21,6,0,0,0,6,10,3,3,0,13,1,1,303
240-242,242,1760,1,0,0,0,2,5,6,0,7,0,0,6,0,0,0,3,0,0,35,7,1,0,0,1,5,3,3,0,16,0,0,303
242-244,244,1758,2,0,0,0,1,3,4,0,2,0,0,3,0,0,0,24,0,0,23,2,0,0,0,5,19,4,2,0,8,0,0,302
244-246,246,1756,3,0,0,0,1,3,3,0,1,0,0,2,0,0,0,22,0,0,26,7,0,0,0,4,9,2,3,0,12,0,0,318
246-248,248,1754,2,0,0,1,3,1,3,0,5,0,0,3,1,0,0,35,0,0,16,6,1,0,0,4,3,1,3,0,14,0,0,326
248-250,250,1752,4,0,0,0,1,4,3,0,2,0,0,2,1,0,0,12,0,0,32,6,0,1,0,4,5,3,4,0,16,0,0,303
250-252,252,1750,2,0,1,1,1,6,4,0,3,0,0,6,0,0,0,3,0,1,26,8,0,1,0,5,7,2,4,0,19,0,0,309
252-254,254,1748,1,0,1,0,3,11,5,0,6,0,0,4,0,0,0,0,0,0,25,3,0,1,1,2,8,3,2,0,21,0,1,315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
